%time,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.position9,field.position10,field.position11,field.position12,field.position13,field.position14,field.position15,field.position16,field.position17
1.49743294015303E+018,65.233039856,-18.9533958435,-22.6484889984,50,53.370891571,22.0601902008,45.3229370117,56.9571495056,32.6588134766,44.2142944336,62.9901771545,42.2546844482,8.3846464157,56.7816886902,32.0845527649,6.3457121849,13.7342014313,10.7627191544
1.49743294016229E+018,65.233039856,-18.9533958435,-24.9344940186,50,53.370891571,22.0601902008,45.3229370117,57.7735671997,32.6588134766,44.2142944336,64.6527252197,42.2546844482,8.3846464157,56.7816886902,32.0845527649,5.8014278412,13.7342014313,9.9735927582
1.49743294017159E+018,65.233039856,-18.9533958435,-27.2204971313,50,53.370891571,22.0601902008,45.3229370117,57.7735671997,32.6588134766,44.2142944336,64.6527252197,42.2546844482,8.3846464157,56.7816886902,32.0845527649,5.075712204,13.7342014313,9.9735927582
1.49743294018098E+018,65.233039856,-18.9533958435,-29.5064849854,50,53.370891571,22.0601902008,45.3229370117,58.5900001526,32.6588134766,44.2142944336,64.6527252197,42.2546844482,9.4479045868,56.7816886902,32.0845527649,4.350001812,13.7342014313,9.9735927582
1.49743294019031E+018,65.233039856,-20.0719299316,-29.5064849854,50,53.370891571,22.0601902008,45.3229370117,58.5900001526,32.6588134766,44.2142944336,64.6527252197,40.6671905518,9.4479045868,56.7816886902,32.0845527649,3.6242859364,13.7342014313,9.9735927582
1.49743294019965E+018,65.233039856,-19.5126609802,-31.2209968567,50,53.370891571,23.7854766846,45.3229370117,59.4064292908,32.6588134766,44.2142944336,64.6527252197,39.8734359741,9.4479045868,56.7816886902,32.0845527649,3.6242859364,13.7342014313,9.9735927582
1.49743294020897E+018,66.1165161133,-20.0719299316,-33.5069847107,50,53.370891571,23.7854766846,45.3229370117,60.222858429,32.6588134766,45.6657142639,64.6527252197,39.8734359741,9.4479045868,56.7816886902,32.0845527649,2.8985700607,13.7342014313,9.9735927582
1.49743294021827E+018,66.1165161133,-20.0719299316,-35.7929878235,50,53.370891571,23.7854766846,45.3229370117,60.222858429,32.6588134766,45.6657142639,64.6527252197,39.8734359741,9.4479045868,56.7816886902,32.0845527649,2.8985700607,14.498922348,9.9735927582
1.49743294022757E+018,66.1165161133,-20.0719299316,-35.7929878235,50,53.370891571,24.6481132507,47.3399887085,61.0392875671,32.6588134766,45.6657142639,66.3152770996,39.8734359741,10.5111627579,56.7816886902,32.0845527649,2.8985700607,14.498922348,9.9735927582
1.49743294023678E+018,66.1165161133,-20.0719299316,-38.078994751,50,53.370891571,25.5107555389,47.3399887085,61.0392875671,32.6588134766,45.6657142639,66.3152770996,39.8734359741,10.5111627579,56.7816886902,32.0845527649,2.8985700607,14.498922348,9.9735927582
